@relation 12168104L2_2

@attribute status_pozyczki {odmowa, splacona, windykacja, splacona_cz, windykacja_sp}
@attribute kwota_kredytu real
@attribute wiek real
@attribute płeć {kobieta, mężczyzna}
@attribute rodzaj_źródła_dochodu real
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie real
@attribute okres_w_jakim_pobierał_dochód real
@attribute okres_w_jakim_będzie_pobierał_dochód real
@attribute opóźnienie_spłaty real

@data
splacona_cz,200.0,40.0,kobieta,17.0,485.0,0.0,120.0,48.0,4.0
splacona_cz,300.0,31.0,kobieta,12.0,2000.0,0.0,13.0,21.0,0.0
splacona_cz,400.0,58.0,kobieta,11.0,1400.0,0.0,156.0,48.0,0.0
splacona_cz,200.0,65.0,kobieta,16.0,892.0,0.0,194.0,48.0,0.0
windykacja,400.0,36.0,kobieta,12.0,1500.0,0.0,14.0,24.0,1819.0
splacona_cz,350.0,21.0,mężczyzna,12.0,952.89,0.0,15.0,26.0,4.0
splacona,500.0,30.0,mężczyzna,12.0,2547.0,0.0,10.0,10.0,0.0
odmowa,400.0,63.0,kobieta,13.0,900.0,0.0,156.0,48.0,0.0
splacona,500.0,24.0,mężczyzna,11.0,2327.94,0.0,28.0,48.0,0.0
splacona_cz,300.0,30.0,mężczyzna,11.0,1000.0,0.0,50.0,48.0,0.0
splacona,744.0,35.0,mężczyzna,11.0,2684.0,0.0,97.0,48.0,229.0
splacona_cz,800.0,62.0,kobieta,13.0,3700.0,0.0,20.0,48.0,5.0
splacona_cz,400.0,72.0,kobieta,13.0,3541.9,0.0,120.0,48.0,13.0
splacona,200.0,68.0,kobieta,13.0,1139.9,0.0,250.0,48.0,6.0
splacona_cz,400.0,53.0,kobieta,11.0,1300.0,0.0,27.0,48.0,11.0
splacona,600.0,29.0,mężczyzna,12.0,1800.0,0.0,1.0,2.0,0.0
odmowa,500.0,58.0,mężczyzna,11.0,1400.0,0.0,10.0,48.0,0.0
odmowa,400.0,27.0,kobieta,12.0,1400.0,0.0,2.0,6.0,0.0
splacona_cz,300.0,56.0,kobieta,11.0,1600.0,0.0,371.0,48.0,13.0
splacona_cz,500.0,57.0,kobieta,11.0,2249.14,0.0,234.0,48.0,6.0
splacona,500.0,27.0,mężczyzna,12.0,1000.0,0.0,9.0,41.0,170.0
splacona,500.0,36.0,mężczyzna,11.0,2500.0,0.0,148.0,48.0,3.0
splacona_cz,700.0,58.0,kobieta,13.0,1801.41,0.0,30.0,48.0,2.0
splacona_cz,400.0,68.0,mężczyzna,13.0,1162.41,0.0,97.0,48.0,0.0
splacona_cz,200.0,47.0,mężczyzna,12.0,600.0,0.0,2.0,3.0,0.0
splacona_cz,300.0,54.0,kobieta,11.0,1721.7,0.0,113.0,48.0,0.0
splacona,200.0,62.0,mężczyzna,16.0,779.67,0.0,58.0,48.0,496.0
splacona_cz,600.0,54.0,kobieta,11.0,1300.0,0.0,61.0,48.0,9.0
splacona_cz,200.0,79.0,kobieta,13.0,1442.43,0.0,134.0,48.0,0.0
splacona,200.0,74.0,kobieta,16.0,822.0,0.0,96.0,48.0,421.0
splacona,700.0,30.0,mężczyzna,12.0,2700.0,0.0,57.0,48.0,0.0
splacona_cz,1500.0,57.0,mężczyzna,98.0,3000.0,0.0,62.0,48.0,2.0
splacona,300.0,29.0,mężczyzna,11.0,1860.0,0.0,24.0,48.0,229.0
splacona_cz,500.0,56.0,mężczyzna,12.0,1410.0,0.0,8.0,34.0,0.0
splacona_cz,700.0,56.0,kobieta,13.0,580.0,0.0,112.0,48.0,0.0
splacona_cz,400.0,61.0,kobieta,13.0,2066.0,0.0,122.0,48.0,0.0
splacona_cz,600.0,47.0,kobieta,98.0,2200.0,0.0,18.0,48.0,0.0
splacona,200.0,43.0,mężczyzna,13.0,936.0,0.0,76.0,48.0,68.0
splacona_cz,817.84,63.0,kobieta,13.0,860.0,0.0,73.0,48.0,1.0
splacona_cz,300.0,60.0,kobieta,13.0,1026.0,0.0,48.0,48.0,0.0
windykacja,500.0,32.0,kobieta,13.0,336.0,0.0,110.0,48.0,1813.0
splacona_cz,800.0,61.0,kobieta,13.0,1820.0,0.0,62.0,48.0,0.0
splacona_cz,200.0,60.0,kobieta,13.0,1635.0,0.0,113.0,48.0,0.0
splacona_cz,300.0,24.0,kobieta,17.0,640.0,0.0,3.0,8.0,7.0
splacona_cz,300.0,59.0,kobieta,13.0,1658.0,0.0,22.0,48.0,0.0
splacona_cz,600.0,42.0,mężczyzna,11.0,1700.0,0.0,245.0,48.0,0.0
splacona,400.0,61.0,kobieta,13.0,1052.0,0.0,66.0,48.0,383.0
splacona_cz,300.0,50.0,kobieta,98.0,570.0,0.0,21.0,48.0,5.0
splacona_cz,400.0,40.0,kobieta,12.0,660.0,0.0,5.0,37.0,7.0
splacona_cz,200.0,45.0,mężczyzna,12.0,670.0,0.0,2.0,11.0,0.0
splacona_cz,500.0,46.0,mężczyzna,12.0,2500.0,0.0,2.0,3.0,0.0
splacona,300.0,67.0,mężczyzna,13.0,1170.0,0.0,72.0,48.0,14.0
splacona_cz,200.0,57.0,mężczyzna,13.0,12220.0,0.0,64.0,48.0,0.0
splacona_cz,600.0,56.0,mężczyzna,11.0,3335.0,0.0,426.0,48.0,0.0
splacona_cz,200.0,50.0,mężczyzna,16.0,1045.0,0.0,192.0,48.0,4.0
splacona,200.0,62.0,kobieta,13.0,1065.0,0.0,15.0,48.0,0.0
splacona_cz,400.0,71.0,kobieta,13.0,1668.0,0.0,190.0,48.0,0.0
splacona_cz,500.0,60.0,kobieta,13.0,1100.0,0.0,15.0,48.0,9.0
windykacja_sp,500.0,28.0,mężczyzna,12.0,1900.0,0.0,5.0,20.0,104.0
splacona,200.0,33.0,mężczyzna,12.0,1000.0,0.0,15.0,36.0,318.0
splacona_cz,400.0,68.0,kobieta,16.0,980.0,0.0,124.0,48.0,0.0
splacona_cz,953.23,36.0,kobieta,11.0,1900.0,0.0,172.0,48.0,11.0
splacona_cz,250.0,69.0,kobieta,13.0,1800.0,0.0,110.0,48.0,0.0
splacona,622.23,46.0,kobieta,12.0,1669.0,0.0,30.0,48.0,353.0
splacona_cz,500.0,62.0,kobieta,13.0,962.0,0.0,59.0,48.0,2.0
splacona_cz,600.0,47.0,mężczyzna,11.0,2500.0,0.0,197.0,48.0,3.0
splacona_cz,400.0,62.0,kobieta,13.0,1900.0,0.0,82.0,48.0,0.0
splacona,200.0,56.0,mężczyzna,16.0,889.0,0.0,233.0,48.0,416.0
splacona_cz,800.0,55.0,kobieta,16.0,2300.0,0.0,56.0,48.0,2.0
splacona_cz,400.0,54.0,kobieta,11.0,2800.0,0.0,53.0,48.0,2.0
splacona,500.0,22.0,mężczyzna,12.0,1800.0,0.0,10.0,11.0,8.0
splacona_cz,800.0,60.0,kobieta,11.0,2670.0,0.0,82.0,48.0,8.0
splacona_cz,400.0,39.0,kobieta,11.0,1200.0,0.0,7.0,48.0,0.0
splacona_cz,300.0,63.0,kobieta,13.0,1100.0,0.0,99.0,48.0,0.0
splacona,400.0,71.0,kobieta,13.0,1667.0,0.0,149.0,48.0,0.0
splacona_cz,300.0,56.0,kobieta,11.0,1187.06,0.0,127.0,48.0,0.0
splacona,200.0,65.0,mężczyzna,13.0,1611.0,0.0,135.0,48.0,0.0
odmowa,200.0,54.0,mężczyzna,12.0,1032.34,0.0,1.0,6.0,0.0
splacona_cz,500.0,64.0,mężczyzna,13.0,1530.0,0.0,28.0,48.0,14.0
splacona,200.0,50.0,kobieta,16.0,1020.0,0.0,96.0,48.0,475.0
odmowa,200.0,72.0,kobieta,13.0,758.0,0.0,170.0,48.0,0.0
splacona_cz,400.0,22.0,mężczyzna,17.0,1896.0,0.0,28.0,33.0,2.0
splacona_cz,600.0,35.0,kobieta,11.0,1065.0,0.0,53.0,48.0,0.0
windykacja,500.0,64.0,kobieta,13.0,1434.0,0.0,85.0,48.0,1806.0
windykacja_sp,400.0,63.0,mężczyzna,13.0,1200.0,0.0,35.0,48.0,193.0
splacona_cz,500.0,66.0,kobieta,13.0,650.0,0.0,67.0,48.0,0.0
splacona_cz,500.0,33.0,kobieta,12.0,1540.0,0.0,32.0,39.0,0.0
splacona_cz,600.0,68.0,kobieta,13.0,2120.0,0.0,112.0,48.0,4.0
odmowa,700.0,25.0,kobieta,13.0,2000.0,0.0,3.0,48.0,0.0
odmowa,500.0,72.0,mężczyzna,13.0,1372.0,0.0,60.0,48.0,0.0
splacona_cz,400.0,24.0,mężczyzna,17.0,926.0,0.0,49.0,48.0,4.0
splacona_cz,400.0,60.0,kobieta,16.0,1411.0,0.0,60.0,48.0,4.0
windykacja,200.0,35.0,kobieta,12.0,850.0,0.0,1.0,2.0,1805.0
splacona_cz,500.0,72.0,mężczyzna,13.0,1700.0,0.0,8.0,48.0,7.0
odmowa,200.0,61.0,mężczyzna,99.0,444.0,0.0,14.0,48.0,0.0
splacona,300.0,75.0,mężczyzna,13.0,1150.0,0.0,132.0,48.0,81.0
splacona_cz,300.0,62.0,kobieta,13.0,1189.0,0.0,63.0,48.0,4.0
splacona_cz,283.08,57.0,kobieta,13.0,782.0,0.0,186.0,48.0,0.0
splacona_cz,400.0,55.0,kobieta,12.0,1350.0,0.0,16.0,24.0,1.0
splacona,450.0,49.0,kobieta,11.0,2800.0,0.0,312.0,48.0,0.0
splacona_cz,500.0,60.0,kobieta,13.0,1000.0,0.0,61.0,48.0,2.0
splacona,600.0,27.0,kobieta,11.0,1300.0,0.0,3.0,48.0,0.0
splacona,300.0,30.0,mężczyzna,16.0,611.67,0.0,147.0,48.0,515.0
splacona,500.0,70.0,mężczyzna,13.0,1420.0,0.0,46.0,48.0,39.0
windykacja_sp,770.0,62.0,kobieta,13.0,1754.0,0.0,89.0,48.0,489.0
splacona_cz,500.0,53.0,kobieta,12.0,2000.0,0.0,3.0,25.0,2.0
windykacja_sp,500.0,22.0,kobieta,17.0,1456.9,0.0,5.0,9.0,276.0
splacona_cz,1000.0,28.0,mężczyzna,12.0,1800.0,0.0,4.0,7.0,4.0
splacona_cz,500.0,62.0,kobieta,13.0,1200.29,0.0,16.0,48.0,0.0
splacona_cz,300.0,30.0,mężczyzna,99.0,1500.0,0.0,5.0,5.0,0.0
splacona_cz,854.63,40.0,kobieta,11.0,2505.0,0.0,157.0,48.0,2.0
splacona_cz,300.0,66.0,kobieta,13.0,1428.55,0.0,130.0,48.0,0.0
splacona_cz,600.0,53.0,kobieta,12.0,1500.0,0.0,2.0,2.0,2.0
splacona,200.0,47.0,kobieta,12.0,830.46,0.0,39.0,48.0,0.0
splacona_cz,500.0,51.0,kobieta,11.0,1700.0,0.0,299.0,48.0,1.0
windykacja,400.0,24.0,mężczyzna,12.0,1387.31,0.0,4.0,9.0,1802.0
splacona_cz,500.0,63.0,mężczyzna,13.0,1768.93,0.0,263.0,48.0,0.0
splacona,400.0,58.0,kobieta,13.0,1600.0,0.0,48.0,48.0,239.0
splacona,562.58,65.0,kobieta,13.0,930.0,0.0,124.0,48.0,1.0
splacona_cz,700.0,38.0,kobieta,11.0,1900.0,0.0,201.0,48.0,9.0
splacona_cz,200.0,73.0,kobieta,13.0,951.0,0.0,156.0,48.0,0.0
splacona_cz,400.0,47.0,kobieta,11.0,3170.0,0.0,279.0,48.0,0.0
windykacja,1257.5,50.0,kobieta,98.0,2880.0,0.0,21.0,48.0,1802.0
odmowa,1000.0,41.0,mężczyzna,98.0,30000.0,0.0,70.0,48.0,0.0
splacona,600.0,57.0,kobieta,11.0,2200.0,0.0,463.0,48.0,218.0
splacona_cz,200.0,75.0,kobieta,13.0,616.0,0.0,240.0,48.0,0.0
splacona,400.0,53.0,mężczyzna,12.0,1917.0,0.0,38.0,38.0,0.0
splacona_cz,500.0,29.0,kobieta,12.0,1447.0,0.0,15.0,23.0,2.0
windykacja,300.0,30.0,mężczyzna,12.0,1600.0,0.0,4.0,12.0,1802.0
splacona_cz,400.0,69.0,kobieta,13.0,1072.0,0.0,146.0,48.0,2.0
splacona_cz,400.0,73.0,kobieta,13.0,1412.0,0.0,198.0,48.0,0.0
splacona_cz,300.0,58.0,kobieta,13.0,1240.0,0.0,63.0,48.0,7.0
splacona,400.0,58.0,mężczyzna,17.0,485.0,0.0,137.0,48.0,2.0
windykacja,400.0,38.0,kobieta,12.0,1000.0,0.0,6.0,39.0,1802.0
splacona_cz,300.0,60.0,mężczyzna,11.0,3000.0,0.0,206.0,48.0,2.0
splacona_cz,500.0,61.0,kobieta,13.0,1362.0,0.0,50.0,48.0,2.0
odmowa,600.0,24.0,mężczyzna,11.0,1475.0,0.0,2.0,48.0,0.0
splacona_cz,400.0,66.0,kobieta,13.0,919.0,0.0,135.0,48.0,7.0
splacona_cz,500.0,31.0,mężczyzna,11.0,2700.0,0.0,9.0,48.0,0.0
windykacja,600.0,36.0,mężczyzna,11.0,2316.55,0.0,34.0,48.0,1800.0
splacona_cz,900.0,33.0,kobieta,11.0,2050.0,0.0,22.0,48.0,1.0
splacona_cz,600.0,47.0,kobieta,12.0,830.46,0.0,39.0,48.0,0.0
splacona,400.0,36.0,kobieta,11.0,2478.0,0.0,151.0,48.0,1.0
splacona_cz,500.0,60.0,kobieta,13.0,1212.0,0.0,47.0,48.0,0.0
windykacja,200.0,57.0,kobieta,11.0,885.0,0.0,427.0,48.0,1800.0
splacona_cz,400.0,28.0,mężczyzna,12.0,900.0,0.0,12.0,20.0,0.0
splacona_cz,200.0,62.0,mężczyzna,13.0,1162.0,0.0,215.0,48.0,0.0
splacona_cz,200.0,63.0,kobieta,13.0,918.0,0.0,96.0,48.0,23.0
splacona_cz,200.0,49.0,mężczyzna,11.0,1400.0,0.0,8.0,48.0,0.0
splacona_cz,600.0,69.0,kobieta,13.0,2291.0,0.0,64.0,48.0,4.0
splacona_cz,200.0,57.0,kobieta,16.0,703.0,0.0,19.0,48.0,0.0
windykacja,400.0,52.0,kobieta,11.0,1959.58,0.0,114.0,48.0,1799.0
splacona_cz,300.0,33.0,mężczyzna,11.0,1800.0,0.0,159.0,48.0,0.0
splacona,200.0,77.0,kobieta,13.0,1239.0,0.0,264.0,48.0,25.0
splacona_cz,500.0,21.0,mężczyzna,12.0,1200.0,0.0,3.0,17.0,0.0
windykacja,200.0,62.0,kobieta,13.0,570.0,0.0,24.0,48.0,1799.0
splacona_cz,200.0,50.0,kobieta,12.0,2000.0,0.0,28.0,48.0,0.0
splacona_cz,600.0,58.0,kobieta,17.0,684.0,0.0,183.0,48.0,0.0
splacona,700.0,29.0,mężczyzna,12.0,1800.0,0.0,1.0,2.0,0.0
splacona_cz,500.0,35.0,mężczyzna,12.0,1500.0,0.0,27.0,35.0,0.0
splacona_cz,453.95,23.0,mężczyzna,99.0,980.0,0.0,5.0,6.0,0.0
windykacja_sp,300.0,29.0,mężczyzna,11.0,930.0,0.0,40.0,48.0,189.0
windykacja_sp,300.0,78.0,mężczyzna,13.0,724.11,0.0,186.0,48.0,524.0
windykacja_sp,250.0,57.0,mężczyzna,13.0,600.0,0.0,149.0,48.0,538.0
splacona_cz,351.29,63.0,kobieta,13.0,1668.0,0.0,85.0,48.0,0.0
splacona_cz,800.0,47.0,kobieta,11.0,5800.0,0.0,48.0,48.0,0.0
splacona_cz,400.0,57.0,kobieta,12.0,1680.0,0.0,64.0,48.0,0.0
windykacja,300.0,50.0,mężczyzna,11.0,1300.0,0.0,4.0,48.0,1798.0
splacona_cz,300.0,56.0,kobieta,98.0,980.0,0.0,3.0,48.0,0.0
splacona_cz,200.0,38.0,kobieta,99.0,2800.0,0.0,4.0,6.0,1.0
splacona,300.0,49.0,kobieta,11.0,2450.0,0.0,108.0,48.0,214.0
splacona_cz,300.0,61.0,kobieta,13.0,997.0,0.0,73.0,48.0,0.0
splacona_cz,1000.0,42.0,mężczyzna,11.0,2875.71,0.0,272.0,48.0,11.0
splacona_cz,800.0,55.0,kobieta,13.0,3440.0,0.0,45.0,48.0,4.0
splacona_cz,200.0,71.0,mężczyzna,13.0,1426.0,0.0,71.0,48.0,0.0
odmowa,200.0,60.0,kobieta,16.0,425.0,0.0,155.0,48.0,0.0
splacona_cz,700.0,42.0,mężczyzna,11.0,2258.0,0.0,69.0,48.0,0.0
splacona,1000.0,60.0,kobieta,13.0,1149.62,0.0,64.0,48.0,0.0
splacona_cz,400.0,55.0,kobieta,11.0,2800.0,0.0,3.0,48.0,0.0
splacona,600.0,60.0,kobieta,13.0,1149.0,0.0,75.0,48.0,405.0
splacona_cz,800.0,60.0,mężczyzna,11.0,1000.0,0.0,57.0,48.0,0.0
splacona,1500.0,72.0,mężczyzna,13.0,2612.0,0.0,75.0,48.0,10.0
windykacja,500.0,50.0,mężczyzna,16.0,755.0,0.0,13.0,48.0,1797.0
splacona,300.0,58.0,kobieta,13.0,1735.0,0.0,48.0,48.0,0.0
splacona_cz,700.0,72.0,mężczyzna,13.0,2802.0,0.0,241.0,48.0,2.0
splacona_cz,200.0,53.0,kobieta,16.0,749.28,0.0,59.0,48.0,17.0
splacona_cz,1000.0,53.0,mężczyzna,11.0,4000.0,0.0,4.0,48.0,0.0
windykacja_sp,250.0,62.0,mężczyzna,13.0,1712.0,0.0,21.0,48.0,486.0
splacona_cz,200.0,20.0,mężczyzna,17.0,985.0,0.0,7.0,11.0,0.0
splacona_cz,250.0,60.0,kobieta,13.0,810.0,0.0,27.0,48.0,0.0
splacona,500.0,36.0,kobieta,12.0,1100.0,0.0,5.0,10.0,437.0
splacona_cz,400.0,32.0,kobieta,12.0,1000.0,0.0,13.0,23.0,0.0
splacona_cz,400.0,64.0,kobieta,13.0,1015.0,0.0,103.0,48.0,0.0
splacona,500.0,33.0,kobieta,11.0,1400.0,0.0,95.0,48.0,45.0
splacona_cz,300.0,25.0,mężczyzna,12.0,1300.0,0.0,3.0,25.0,3.0
splacona_cz,300.0,49.0,mężczyzna,13.0,3900.0,0.0,24.0,48.0,0.0
windykacja_sp,1000.0,57.0,kobieta,11.0,2200.0,0.0,463.0,48.0,482.0
splacona_cz,200.0,53.0,kobieta,16.0,655.0,0.0,25.0,48.0,0.0
windykacja_sp,300.0,47.0,mężczyzna,11.0,1717.08,0.0,71.0,48.0,339.0
splacona,400.0,56.0,mężczyzna,12.0,1600.0,0.0,28.0,48.0,0.0
splacona_cz,400.0,36.0,kobieta,11.0,1400.0,0.0,81.0,48.0,17.0
splacona,1000.0,57.0,mężczyzna,13.0,3600.0,0.0,80.0,48.0,0.0
splacona_cz,200.0,47.0,kobieta,11.0,770.0,0.0,97.0,48.0,1.0
windykacja_sp,300.0,65.0,kobieta,13.0,900.0,0.0,123.0,48.0,500.0
splacona_cz,500.0,54.0,mężczyzna,13.0,2800.0,0.0,144.0,48.0,1.0
splacona_cz,400.0,62.0,kobieta,13.0,714.0,0.0,216.0,48.0,0.0
splacona_cz,700.0,58.0,kobieta,13.0,1872.0,0.0,29.0,48.0,2.0
splacona_cz,200.0,24.0,mężczyzna,12.0,1000.0,0.0,6.0,24.0,0.0
splacona,450.0,55.0,mężczyzna,16.0,588.0,0.0,416.0,48.0,0.0
splacona_cz,500.0,49.0,kobieta,11.0,1800.0,0.0,47.0,48.0,2.0
splacona,300.0,61.0,kobieta,13.0,1170.0,0.0,72.0,48.0,2.0
splacona_cz,200.0,46.0,mężczyzna,11.0,1360.0,0.0,113.0,48.0,0.0
splacona_cz,200.0,78.0,kobieta,13.0,736.0,0.0,61.0,48.0,1.0
splacona_cz,500.0,54.0,kobieta,16.0,1045.6,0.0,6.0,48.0,0.0
splacona_cz,500.0,52.0,mężczyzna,11.0,3200.0,0.0,183.0,48.0,0.0
splacona_cz,400.0,74.0,kobieta,13.0,1026.0,0.0,241.0,48.0,0.0
splacona,200.0,40.0,mężczyzna,12.0,1000.0,0.0,0.0,3.0,0.0
splacona,539.49,49.0,kobieta,11.0,1764.0,0.0,58.0,48.0,88.0
splacona_cz,500.0,62.0,kobieta,13.0,1525.46,0.0,30.0,48.0,5.0
splacona_cz,617.26,32.0,mężczyzna,11.0,2050.0,0.0,112.0,48.0,1.0
splacona_cz,400.0,53.0,kobieta,11.0,1700.0,0.0,199.0,48.0,1.0
windykacja,300.0,27.0,kobieta,12.0,1030.0,0.0,4.0,24.0,1795.0
odmowa,300.0,45.0,kobieta,16.0,1047.0,0.0,192.0,48.0,0.0
odmowa,300.0,59.0,mężczyzna,16.0,745.54,0.0,75.0,48.0,0.0
splacona_cz,200.0,43.0,kobieta,11.0,1400.0,0.0,19.0,48.0,0.0
splacona_cz,200.0,72.0,kobieta,13.0,640.0,0.0,132.0,48.0,0.0
splacona_cz,500.0,56.0,mężczyzna,13.0,1900.0,0.0,144.0,48.0,2.0
splacona_cz,700.0,65.0,mężczyzna,13.0,3040.0,0.0,195.0,48.0,0.0
splacona_cz,250.0,38.0,mężczyzna,12.0,1030.0,0.0,13.0,14.0,5.0
splacona_cz,500.0,54.0,kobieta,16.0,1657.0,0.0,13.0,48.0,0.0
splacona_cz,400.0,25.0,kobieta,17.0,1200.0,0.0,159.0,48.0,0.0
splacona,300.0,53.0,mężczyzna,11.0,1320.0,0.0,336.0,48.0,0.0
splacona_cz,743.23,35.0,kobieta,98.0,4000.0,0.0,12.0,48.0,1.0
